left,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,Department,salary
0,0.73,0.71,3,245,8,0,0,sales,MEDIUM
0,0.52,0.93,2,271,3,0,0,sales,LOW
0,0.61,0.52,4,140,3,0,0,product_mng,MEDIUM
0,0.52,0.73,2,233,3,0,0,technical,MEDIUM
0,0.82,0.68,3,140,2,0,0,sales,LOW
0,0.38,0.63,2,182,2,0,0,product_mng,MEDIUM
0,0.74,0.83,4,210,3,0,0,support,LOW
0,0.59,0.72,4,168,4,0,0,management,MEDIUM
0,0.62,0.79,3,141,3,0,0,accounting,LOW
0,0.81,0.81,4,212,2,1,0,sales,MEDIUM
0,0.82,0.95,6,191,6,0,0,accounting,MEDIUM
0,0.7,0.9,3,224,3,0,0,support,MEDIUM
0,0.55,0.93,4,239,4,0,0,management,LOW
0,0.19,0.71,4,198,6,0,0,accounting,MEDIUM
0,0.53,0.77,2,167,2,0,0,support,MEDIUM
0,0.6,0.99,5,161,3,0,0,management,HIGH
0,0.68,0.97,5,207,4,1,0,RandD,LOW
0,0.91,0.75,2,147,3,0,0,marketing,LOW
0,0.71,0.93,5,140,8,0,0,marketing,MEDIUM
0,0.6,0.59,3,237,4,1,0,product_mng,LOW
0,0.97,0.5,3,216,3,0,0,IT,LOW
0,0.61,0.61,4,246,2,0,0,accounting,LOW
0,0.61,0.62,4,202,3,0,0,sales,HIGH
0,0.98,0.93,5,203,2,0,0,technical,MEDIUM
0,0.69,0.72,5,271,3,0,0,support,LOW
0,0.5,0.51,5,134,3,0,0,product_mng,LOW
0,0.14,0.52,4,217,6,0,0,sales,LOW
0,0.54,0.94,4,267,4,0,0,support,LOW
0,0.54,0.49,3,203,3,1,0,product_mng,MEDIUM
0,0.62,0.97,5,180,2,0,0,technical,HIGH
0,0.9,0.94,4,231,3,0,0,technical,MEDIUM
0,0.65,0.83,4,218,3,0,0,hr,LOW
0,0.56,0.89,3,163,3,1,0,technical,HIGH
0,0.62,0.49,4,175,3,0,0,technical,MEDIUM
0,0.72,0.95,2,202,4,1,0,product_mng,MEDIUM
0,0.95,0.99,5,251,4,0,0,product_mng,LOW
0,0.75,1,4,135,4,0,0,technical,LOW
0,0.63,0.94,3,172,3,0,0,management,MEDIUM
0,0.64,0.49,3,241,3,0,0,hr,MEDIUM
0,0.61,0.82,4,248,2,0,0,support,MEDIUM
0,0.65,0.63,4,143,8,0,0,management,MEDIUM
0,0.88,0.8,3,133,3,0,0,product_mng,MEDIUM
0,1,0.87,4,129,5,0,0,support,MEDIUM
0,0.76,0.65,3,254,2,0,0,sales,LOW
0,0.78,0.49,4,222,2,0,0,marketing,MEDIUM
0,0.97,0.66,4,214,2,1,0,IT,LOW
0,0.73,0.63,4,174,3,0,0,accounting,LOW
0,0.48,0.65,3,199,2,0,0,technical,LOW
0,0.98,0.58,4,136,3,0,0,technical,LOW
0,0.63,0.59,3,155,3,1,0,sales,MEDIUM
0,0.61,0.94,6,144,4,0,0,product_mng,LOW
0,0.75,0.96,3,138,2,0,0,IT,MEDIUM
0,0.65,0.55,5,261,3,1,0,technical,MEDIUM
0,0.73,0.62,5,134,3,0,0,IT,HIGH
0,0.9,0.93,4,263,3,1,0,support,MEDIUM
0,0.54,0.68,6,249,5,0,0,product_mng,MEDIUM
0,0.97,0.92,3,168,3,0,0,technical,LOW
0,0.91,0.79,4,166,3,0,0,product_mng,MEDIUM
0,0.65,0.5,5,270,2,0,0,sales,LOW
0,0.4,0.85,4,198,2,0,0,hr,LOW
0,0.33,0.7,5,271,4,0,0,RandD,LOW
0,0.88,0.91,4,233,4,0,0,technical,HIGH
0,0.53,0.81,3,253,3,0,0,marketing,MEDIUM
0,0.63,0.64,3,208,2,1,0,support,LOW
0,0.73,0.89,3,226,3,1,0,technical,HIGH
0,0.59,0.74,5,165,2,0,0,RandD,MEDIUM
0,0.56,0.92,4,172,2,0,0,support,MEDIUM
0,0.81,0.62,3,240,6,0,1,sales,LOW
0,0.9,0.88,5,256,4,0,0,support,MEDIUM
0,0.43,0.66,4,135,2,0,0,IT,HIGH
0,0.54,0.71,3,145,3,1,0,sales,MEDIUM
0,0.93,0.71,4,145,3,0,0,technical,MEDIUM
0,0.77,0.59,4,140,3,0,0,sales,MEDIUM
0,0.43,0.38,2,278,3,1,0,sales,LOW
0,0.69,0.76,5,255,6,0,0,technical,LOW
0,0.22,0.78,6,206,6,0,0,RandD,LOW
0,0.72,0.63,4,241,4,1,0,marketing,MEDIUM
0,0.59,0.39,5,200,4,0,0,product_mng,MEDIUM
0,0.63,0.82,3,269,3,0,0,sales,LOW
0,0.67,0.57,2,234,4,0,0,management,LOW
0,0.9,0.58,3,244,8,0,0,sales,LOW
0,0.61,0.73,4,274,3,0,0,accounting,HIGH
0,0.22,0.55,4,261,3,1,0,sales,MEDIUM
0,0.92,0.53,3,238,2,0,0,product_mng,LOW
0,0.81,0.72,4,153,7,0,0,product_mng,LOW
0,0.7,0.68,4,143,5,0,0,IT,HIGH
0,0.55,0.58,5,208,3,0,0,IT,LOW
0,0.48,0.9,4,224,3,0,0,product_mng,LOW
0,0.56,0.69,5,239,2,1,0,IT,LOW
0,0.78,0.61,5,202,2,0,0,accounting,MEDIUM
0,0.55,0.97,4,162,3,0,0,RandD,LOW
0,0.74,0.55,4,262,3,0,0,support,LOW
0,0.84,0.58,3,140,3,0,0,accounting,MEDIUM
0,0.82,0.59,3,210,3,0,0,management,MEDIUM
0,0.14,0.83,5,153,5,1,0,sales,MEDIUM
0,0.74,0.91,2,264,3,0,0,support,LOW
0,0.55,0.41,4,202,5,1,0,support,MEDIUM
0,0.74,0.85,3,176,3,0,0,management,MEDIUM
0,0.83,0.88,5,171,3,1,0,IT,MEDIUM
0,0.71,0.5,4,253,3,0,0,RandD,MEDIUM
0,0.95,0.72,3,168,5,0,0,IT,MEDIUM
0,0.99,0.39,6,214,5,1,0,sales,LOW
0,0.49,0.83,3,172,2,0,0,sales,MEDIUM
0,0.95,0.65,5,202,2,1,0,sales,LOW
0,0.69,0.69,4,195,2,0,0,sales,MEDIUM
0,0.62,0.43,2,106,2,0,1,sales,HIGH
0,0.61,0.84,4,272,4,1,0,sales,MEDIUM
0,0.57,0.82,5,218,3,0,0,support,MEDIUM
0,0.57,0.59,4,206,3,0,0,RandD,MEDIUM
0,0.64,0.52,3,240,3,0,0,marketing,MEDIUM
0,0.69,0.91,6,247,6,0,0,RandD,MEDIUM
0,0.61,0.87,5,174,4,0,0,sales,MEDIUM
0,0.58,0.75,4,233,2,0,0,marketing,LOW
0,0.22,0.51,4,131,2,0,0,technical,MEDIUM
0,0.63,0.41,3,180,5,1,0,marketing,MEDIUM
0,0.55,0.78,4,261,3,0,0,management,HIGH
0,0.67,0.73,4,251,3,0,0,support,HIGH
0,0.79,0.54,5,212,4,0,0,marketing,MEDIUM
0,0.84,0.55,3,135,3,0,0,hr,MEDIUM
0,0.92,0.62,4,265,3,1,0,sales,MEDIUM
0,0.61,0.61,4,193,2,0,0,support,HIGH
0,0.68,0.87,3,168,3,0,0,IT,MEDIUM
0,0.68,0.95,4,146,2,0,0,technical,MEDIUM
0,0.18,0.84,4,231,5,0,0,sales,LOW
0,0.4,0.87,5,250,4,0,0,sales,LOW
0,0.61,0.9,2,202,3,0,0,marketing,HIGH
0,0.48,0.54,3,190,3,0,0,technical,MEDIUM
0,0.37,0.88,4,155,3,0,0,sales,MEDIUM
0,0.55,0.87,3,201,2,0,0,technical,MEDIUM
0,0.73,0.77,3,233,3,0,0,sales,MEDIUM
0,0.78,0.77,2,177,4,0,0,support,LOW
0,0.36,0.74,6,280,3,0,0,sales,LOW
0,0.65,0.83,4,263,3,1,0,support,HIGH
0,0.78,0.89,4,272,2,0,0,support,LOW
0,0.5,1,3,149,2,0,0,hr,MEDIUM
0,0.88,0.72,5,244,2,0,0,technical,LOW
0,0.98,0.67,3,190,10,0,0,IT,MEDIUM
0,0.67,0.52,4,207,3,0,0,IT,MEDIUM
0,0.9,0.78,3,162,2,0,0,sales,MEDIUM
0,0.92,0.61,4,143,8,0,0,sales,LOW
0,0.53,0.88,3,150,3,1,0,accounting,HIGH
0,0.57,0.88,3,176,3,0,0,support,LOW
0,0.32,0.37,3,167,3,0,0,accounting,MEDIUM
0,0.74,0.58,4,215,3,1,0,support,MEDIUM
0,0.75,0.53,4,224,4,1,0,support,MEDIUM
0,0.99,0.81,3,183,2,0,0,technical,LOW
0,0.92,0.66,4,133,3,0,0,support,MEDIUM
0,0.51,0.51,3,274,2,0,0,product_mng,MEDIUM
0,0.31,0.51,2,146,3,0,0,RandD,LOW
0,0.52,0.79,4,234,3,0,0,support,LOW
0,0.76,0.89,5,204,3,0,0,accounting,LOW
0,0.61,0.89,3,201,2,0,0,technical,LOW
0,0.75,0.68,3,150,2,1,0,support,MEDIUM
0,0.57,0.97,5,126,5,0,0,sales,MEDIUM
0,0.41,0.57,3,193,3,1,0,IT,MEDIUM
0,0.77,0.65,2,162,4,1,0,support,MEDIUM
0,0.76,0.75,3,239,2,0,0,hr,LOW
0,0.83,0.88,3,223,3,1,0,sales,LOW
0,0.94,0.88,4,262,2,0,0,sales,MEDIUM
0,0.56,0.39,3,106,8,0,0,management,HIGH
0,0.32,0.72,2,240,5,0,0,IT,LOW
0,0.65,0.94,4,174,3,0,0,sales,MEDIUM
0,0.19,0.83,5,280,4,0,0,RandD,LOW
0,0.61,0.6,2,194,6,0,0,IT,MEDIUM
0,0.37,0.52,4,211,4,0,0,hr,LOW
0,0.62,0.57,4,215,3,0,0,sales,MEDIUM
0,0.51,0.72,4,196,2,0,0,support,LOW
0,0.21,0.4,3,262,3,0,0,support,LOW
0,0.15,0.89,3,219,6,0,0,marketing,LOW
0,0.61,0.48,4,163,3,0,0,sales,MEDIUM
0,0.51,0.93,5,232,3,0,0,support,MEDIUM
0,0.52,0.85,5,183,3,0,0,support,LOW
0,0.44,0.81,3,248,2,0,0,accounting,MEDIUM
0,0.82,0.65,5,202,7,1,0,sales,MEDIUM
0,0.84,0.98,4,246,3,0,0,sales,MEDIUM
0,0.29,0.38,6,105,5,0,0,sales,LOW
0,0.75,0.89,5,154,4,0,0,hr,LOW
0,0.74,0.52,3,170,3,0,0,support,LOW
0,0.5,0.57,3,223,3,0,0,technical,LOW
0,0.54,0.53,4,183,3,0,0,IT,LOW
0,0.78,0.93,3,200,3,0,0,RandD,LOW
0,0.58,0.63,4,171,3,0,0,sales,MEDIUM
0,0.53,0.77,4,259,2,1,1,sales,MEDIUM
0,0.84,0.54,3,245,3,0,0,sales,LOW
0,0.61,0.75,4,177,2,0,0,IT,LOW
0,0.48,0.5,4,173,3,0,0,sales,LOW
0,0.85,0.98,5,222,3,0,1,sales,MEDIUM
0,0.5,0.7,3,274,3,0,0,marketing,LOW
0,0.68,0.51,4,224,2,0,0,technical,LOW
0,0.51,0.58,5,173,3,0,0,support,LOW
0,0.19,0.72,4,192,4,0,0,sales,LOW
0,0.41,0.61,3,185,2,1,0,sales,MEDIUM
0,0.57,0.64,4,226,7,0,0,sales,LOW
0,0.91,0.87,3,199,3,0,0,sales,MEDIUM
0,0.75,0.76,3,246,3,0,0,sales,MEDIUM
0,0.89,0.95,3,246,4,0,0,support,LOW
0,0.61,0.49,4,191,5,0,0,IT,LOW
0,0.23,0.71,4,277,5,0,0,RandD,MEDIUM
0,0.51,0.85,2,248,4,0,0,IT,HIGH
0,0.69,0.63,5,140,4,0,1,sales,HIGH
0,0.64,0.65,3,181,2,0,0,technical,HIGH
0,0.51,0.48,5,136,4,0,0,management,LOW
0,0.94,0.52,4,217,6,1,0,support,LOW
0,0.62,0.64,3,165,3,0,0,IT,HIGH
0,0.71,0.66,5,187,2,0,0,sales,MEDIUM
0,0.57,0.5,4,230,2,0,0,technical,LOW
0,0.45,0.87,2,268,4,1,0,IT,LOW
0,0.61,0.89,2,239,6,1,0,sales,MEDIUM
0,0.91,0.75,4,159,3,1,0,support,LOW
0,0.56,0.75,4,192,2,0,0,support,LOW
0,0.65,0.6,5,160,3,0,0,technical,MEDIUM
0,0.34,0.72,3,118,4,0,0,IT,LOW
0,0.19,0.72,6,243,6,1,0,technical,LOW
0,0.95,0.57,3,238,3,0,0,IT,LOW
0,0.61,0.5,5,287,4,0,0,technical,LOW
0,0.85,0.8,4,254,2,0,0,product_mng,LOW
0,0.89,0.75,3,134,3,0,0,hr,LOW
0,0.92,0.59,4,190,5,0,0,technical,HIGH
0,0.92,0.9,4,249,3,0,0,IT,LOW
0,0.44,0.63,3,193,3,0,0,technical,HIGH
0,0.97,0.88,3,204,2,0,0,management,LOW
0,0.93,0.68,3,202,3,1,0,sales,MEDIUM
0,0.83,0.55,3,271,7,0,0,sales,MEDIUM
0,0.63,0.95,4,134,3,0,0,support,MEDIUM
0,0.72,0.92,3,242,8,0,0,sales,MEDIUM
0,0.81,0.5,4,231,3,1,0,technical,LOW
0,0.61,0.53,4,183,3,0,0,marketing,LOW
0,0.77,0.59,5,189,5,0,0,technical,LOW
0,0.55,0.55,5,256,3,0,0,RandD,MEDIUM
0,0.83,0.66,3,239,3,0,0,technical,LOW
0,0.94,0.7,3,271,4,0,0,sales,MEDIUM
0,0.6,0.73,2,180,2,0,0,sales,HIGH
0,0.52,0.72,2,247,4,0,0,accounting,MEDIUM
0,0.59,0.8,3,258,3,1,0,IT,LOW
0,0.62,0.76,5,198,3,0,0,sales,LOW
0,0.91,0.7,4,134,2,0,0,technical,MEDIUM
0,0.61,0.9,3,224,3,0,0,support,LOW
0,0.52,0.84,2,266,2,0,0,sales,LOW
0,0.62,0.69,4,165,4,1,0,technical,MEDIUM
0,0.88,0.62,4,237,2,0,0,sales,MEDIUM
0,0.61,0.7,5,172,4,0,0,sales,HIGH
0,0.15,0.8,5,151,2,1,0,sales,LOW
0,0.49,0.65,4,176,3,1,0,hr,MEDIUM
0,0.51,0.72,4,168,2,0,0,sales,LOW
0,0.61,0.71,2,202,2,0,0,sales,MEDIUM
0,0.65,0.54,4,147,10,0,0,sales,LOW
0,0.67,0.5,4,173,2,1,0,support,HIGH
0,0.91,0.9,3,243,3,0,0,support,MEDIUM
0,0.28,0.38,5,139,4,0,0,support,MEDIUM
0,0.66,0.68,3,258,3,0,0,technical,LOW
0,0.57,0.6,2,163,3,0,0,sales,MEDIUM
0,0.64,0.95,3,98,3,0,0,IT,MEDIUM
0,0.85,0.72,3,179,3,0,0,product_mng,LOW
0,0.75,0.73,4,274,2,0,0,RandD,LOW
0,0.61,0.9,3,161,3,0,0,product_mng,MEDIUM
0,0.83,0.74,4,233,3,0,0,accounting,MEDIUM
0,0.99,0.99,4,163,4,0,0,product_mng,MEDIUM
0,0.98,0.74,4,151,3,0,0,sales,MEDIUM
0,0.75,0.78,2,264,3,1,0,technical,MEDIUM
0,0.61,0.39,4,193,4,0,0,technical,MEDIUM
0,0.8,0.74,5,181,4,1,0,management,MEDIUM
0,0.15,0.89,3,251,4,0,0,marketing,HIGH
0,0.83,0.76,2,255,7,0,0,sales,LOW
0,0.15,0.52,4,207,4,0,0,product_mng,MEDIUM
0,0.58,0.54,4,199,2,0,0,sales,LOW
0,0.48,0.58,3,194,3,0,0,technical,MEDIUM
0,0.16,0.72,4,192,6,0,0,sales,HIGH
0,0.31,0.51,4,229,6,0,0,support,HIGH
0,0.71,0.99,2,136,3,0,0,IT,LOW
0,0.57,0.59,4,197,3,0,0,sales,LOW
0,0.57,0.58,3,192,3,0,0,technical,MEDIUM
0,0.9,0.98,2,243,3,0,0,marketing,MEDIUM
0,0.4,0.73,4,146,3,0,0,support,LOW
0,0.84,0.64,2,211,3,0,0,sales,MEDIUM
0,0.97,0.89,4,193,3,0,0,technical,LOW
0,0.91,0.57,3,158,3,0,0,technical,LOW
0,0.66,0.91,4,234,2,1,0,IT,MEDIUM
0,0.31,0.63,3,150,3,1,0,sales,MEDIUM
0,0.59,0.79,4,272,3,0,0,technical,LOW
0,0.64,0.5,3,238,4,0,0,technical,LOW
0,0.44,0.51,2,219,4,0,0,sales,LOW
0,0.74,0.71,3,186,3,1,0,sales,HIGH
0,0.98,0.51,3,157,3,0,0,marketing,MEDIUM
0,0.65,0.49,5,221,2,0,0,management,LOW
0,0.61,0.66,6,174,3,0,0,sales,MEDIUM
0,0.29,0.48,2,116,6,1,0,hr,LOW
0,0.93,0.7,5,231,7,0,1,sales,HIGH
0,0.82,0.62,4,267,3,1,0,accounting,MEDIUM
0,0.51,0.39,3,149,3,0,0,marketing,LOW
0,0.31,0.72,3,205,5,0,0,product_mng,LOW
0,0.74,0.87,4,258,2,0,0,marketing,MEDIUM
0,0.61,0.93,3,250,4,0,0,management,MEDIUM
0,0.49,0.58,3,265,3,0,0,support,LOW
0,0.92,0.65,3,176,3,0,0,IT,LOW
0,0.92,0.53,3,253,3,0,0,support,LOW
0,0.49,0.57,2,213,3,1,0,product_mng,LOW
0,0.45,0.6,2,98,3,0,0,product_mng,LOW
0,0.84,0.78,4,263,3,0,0,IT,LOW
0,0.58,0.67,5,133,10,0,0,technical,MEDIUM
0,0.75,0.99,2,237,5,1,0,product_mng,LOW
0,0.51,0.75,4,154,3,0,0,marketing,MEDIUM
0,0.9,0.93,4,263,3,1,0,support,MEDIUM
0,0.81,0.96,4,143,3,1,0,technical,MEDIUM
0,0.65,0.98,3,252,2,0,0,product_mng,HIGH
0,0.7,0.38,4,270,2,0,0,RandD,LOW
0,0.76,0.67,5,243,3,0,0,sales,LOW
0,0.52,0.83,3,153,2,0,0,sales,MEDIUM
0,0.57,0.78,3,206,4,0,0,RandD,MEDIUM
0,0.82,0.84,3,194,3,0,0,product_mng,LOW
0,0.38,0.94,5,252,5,0,0,sales,LOW
0,0.95,0.37,6,233,5,0,0,RandD,MEDIUM
0,0.69,0.97,3,158,2,0,0,accounting,LOW
0,0.6,0.73,3,140,5,1,0,hr,LOW
0,0.98,1,4,202,3,0,0,support,LOW
0,0.51,0.59,3,238,3,0,0,support,HIGH
0,0.52,0.61,3,203,3,0,0,sales,HIGH
0,0.93,1,3,148,4,0,0,sales,LOW
0,0.51,0.61,4,251,2,1,0,support,LOW
0,0.33,0.64,2,274,3,1,0,technical,HIGH
0,0.57,0.9,3,256,4,0,0,RandD,LOW
0,0.76,0.82,4,170,6,0,0,sales,MEDIUM
0,0.61,0.98,4,238,3,1,0,management,LOW
0,0.94,0.78,4,211,3,0,0,support,MEDIUM
0,0.61,0.74,5,185,2,1,0,technical,MEDIUM
0,0.78,0.44,3,97,4,0,0,IT,MEDIUM
0,0.84,0.93,3,159,3,0,0,sales,LOW
0,0.55,0.99,3,158,3,0,0,sales,LOW
0,0.61,0.62,5,199,4,0,0,sales,LOW
0,0.94,0.85,3,202,3,0,0,sales,LOW
0,0.73,0.72,4,233,2,0,0,sales,LOW
0,0.99,0.79,4,172,2,0,0,sales,MEDIUM
0,0.79,0.72,4,192,3,0,0,IT,LOW
0,0.33,0.4,6,214,6,0,0,marketing,MEDIUM
0,0.82,0.75,4,224,3,0,0,sales,LOW
0,0.67,0.97,4,186,3,0,0,hr,LOW
0,0.74,0.66,3,254,2,0,0,support,MEDIUM
0,0.6,0.95,3,221,3,0,0,sales,LOW
0,0.73,0.99,3,241,3,0,0,RandD,LOW
0,0.51,0.52,3,188,3,0,0,technical,HIGH
0,0.66,0.57,4,161,7,0,1,management,MEDIUM
0,0.66,0.82,4,257,3,1,0,sales,MEDIUM
0,0.73,0.93,3,205,3,0,0,product_mng,HIGH
0,0.79,0.92,4,208,2,1,0,marketing,LOW
0,0.73,0.61,5,222,3,0,0,sales,HIGH
0,0.61,0.84,5,104,4,0,0,sales,LOW
0,0.61,0.72,4,228,2,0,0,accounting,HIGH
0,0.92,0.93,4,202,2,0,1,RandD,MEDIUM
0,0.81,0.99,3,239,2,1,0,technical,LOW
0,0.94,0.73,3,154,3,0,0,technical,LOW
0,0.76,0.94,3,189,3,0,0,sales,MEDIUM
0,0.61,0.76,6,174,10,0,0,IT,MEDIUM
0,0.98,0.74,4,151,3,0,0,sales,MEDIUM
0,0.83,0.73,5,136,3,0,0,sales,LOW
0,0.53,0.4,5,212,3,1,0,technical,MEDIUM
0,0.66,0.6,3,210,2,0,0,sales,LOW
0,0.61,0.72,3,157,3,0,0,sales,MEDIUM
0,0.22,0.64,6,202,4,0,0,hr,HIGH
0,0.61,0.4,4,286,3,0,0,support,LOW
0,0.77,0.98,3,286,6,0,0,management,HIGH
0,0.72,0.99,3,143,4,0,0,sales,LOW
0,0.6,0.8,4,253,2,0,0,technical,LOW
0,0.67,0.91,3,256,3,0,0,technical,LOW
0,0.61,0.69,5,157,3,0,0,IT,LOW
0,0.61,0.75,5,157,4,0,0,support,LOW
0,0.8,0.99,5,187,3,1,0,technical,MEDIUM
0,0.49,0.99,4,258,3,1,0,sales,LOW
0,0.57,0.7,3,248,2,0,0,technical,MEDIUM
0,0.55,0.62,5,184,4,0,0,marketing,MEDIUM
0,0.61,0.65,3,143,4,0,0,support,MEDIUM
0,0.84,0.53,3,210,4,1,0,marketing,MEDIUM
0,0.65,0.64,5,206,3,0,0,technical,LOW
0,0.82,0.82,3,164,3,0,0,technical,HIGH
0,0.94,0.69,2,198,3,0,0,technical,LOW
0,0.52,0.77,3,202,2,0,1,support,LOW
0,0.6,0.65,2,202,10,0,0,management,HIGH
0,0.83,0.77,3,171,3,0,0,sales,LOW
0,0.91,0.77,3,144,3,0,0,sales,MEDIUM
0,0.63,0.48,4,179,3,0,0,marketing,LOW
0,1,0.65,4,202,4,1,0,hr,LOW
0,0.97,0.72,3,187,2,0,0,sales,LOW
0,0.71,0.81,3,141,3,0,0,support,MEDIUM
0,0.55,0.96,3,194,3,0,0,product_mng,MEDIUM
0,0.93,0.66,4,242,4,0,0,support,LOW
0,0.88,0.62,4,221,2,0,0,RandD,LOW
0,0.63,0.48,4,179,3,0,0,marketing,LOW
0,0.85,0.55,4,158,5,0,0,technical,MEDIUM
0,0.79,0.82,4,220,3,0,0,sales,MEDIUM
0,0.23,0.72,6,121,3,0,0,support,MEDIUM
0,0.52,0.49,5,170,3,0,0,technical,LOW
0,0.52,1,4,148,3,0,0,RandD,MEDIUM
0,0.49,0.43,5,210,4,1,0,technical,MEDIUM
0,0.75,0.93,3,247,2,0,0,technical,HIGH
0,0.83,0.71,3,254,2,0,0,technical,LOW
0,0.81,0.87,4,161,2,0,0,RandD,MEDIUM
0,0.9,0.48,4,204,3,0,0,technical,MEDIUM
0,0.98,0.8,4,134,2,1,0,support,MEDIUM
0,0.59,0.54,4,176,2,0,0,technical,MEDIUM
0,0.54,0.82,3,284,2,1,0,support,LOW
0,0.75,0.6,4,186,10,1,0,marketing,LOW
0,0.21,0.76,4,165,6,1,0,product_mng,LOW
0,0.9,0.57,4,186,4,0,0,technical,MEDIUM
0,0.61,0.4,3,113,3,0,0,marketing,HIGH
0,0.55,0.92,4,257,2,0,0,technical,HIGH
0,0.58,0.71,3,151,2,0,0,accounting,MEDIUM
0,0.92,0.57,3,191,3,0,0,support,LOW
0,0.91,0.93,5,158,4,0,0,sales,MEDIUM
0,0.63,0.98,4,187,3,0,0,management,HIGH
0,0.58,0.96,5,143,2,0,0,sales,LOW
0,0.9,0.59,6,269,4,1,0,management,MEDIUM
0,0.74,0.76,5,104,4,0,0,support,LOW
0,0.61,0.73,5,259,2,0,0,technical,MEDIUM
0,0.76,0.62,5,230,3,1,0,marketing,LOW
0,0.91,0.53,3,147,4,1,0,support,HIGH
0,0.82,0.62,3,202,6,0,0,technical,LOW
0,0.61,0.68,5,236,4,0,0,sales,HIGH
0,0.59,0.73,3,195,2,0,0,RandD,MEDIUM
0,0.83,0.62,4,218,3,0,0,sales,LOW
0,0.5,0.98,5,177,4,0,0,management,MEDIUM
